entity_id,region_name,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,nace_level_1_name,nace_level_2_name,revenue_pct,activity_type,env_score_adjustment
1782,Western Europe,United Kingdom of Great Britain and Northern Ireland,352806000,2.988,3.9,1.75,2.833,60,0,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,Other,Other
3918,Northern America,United States of America,1513700000,2.77,3.004,2.942,2.143,265,0,Information and communication,Publishing activities,0.862102273,Operation,Operation
3918,Northern America,United States of America,1513700000,2.77,3.004,2.942,2.143,265,0,"Professional, scientific and technical activities",Activities of head offices and management consultancy,0.137897727,Operation,Operation
10299,Western Europe,France,1560000000,2.501,2.979,2.56,1.571,1136,0,Information and communication,Publishing activities,1,End-use,End-use
10299,Western Europe,France,1560000000,2.501,2.979,2.56,1.571,1136,0,Information and communication,Publishing activities,1,Operation,Operation
2324,Northern America,United States of America,12385107000,3.207,3.776,3,2.429,1468,0,Financial and insurance activities,"Financial service activities, except insurance and pension funding",1,N/A,N/A
1206,Western Europe,Spain,2980000000,1.998,2.138,1.785,2,1802,0,Information and communication,Telecommunications,1,Operation,Operation
1206,Western Europe,Spain,2980000000,1.998,2.138,1.785,2,1802,0,Information and communication,Telecommunications,1,Other,Other
1206,Western Europe,Spain,2980000000,1.998,2.138,1.785,2,1802,0,Information and communication,Telecommunications,1,Operation,Operation
1418,Northern America,United States of America,3588600000,2.77,3.083,3,1.929,2659,0,Manufacturing,Manufacture of leather and related products of other materials,1,Other,Other
1418,Northern America,United States of America,3588600000,2.77,3.083,3,1.929,2659,0,Manufacturing,Manufacture of leather and related products of other materials,1,Operation,Operation
4021,Western Europe,United Kingdom of Great Britain and Northern Ireland,1470000000,2.466,2.45,2.5,2.452,2913,0,Information and communication,Telecommunications,1,Operation,Operation
1494,Northern America,United States of America,14000000000,3.383,3.022,4.9,2.214,4319,0,Human Health And Social Work Activities,Gambling and betting activities,1,N/A,N/A
3173,Western Europe,Spain,857984000,3.397,3.815,3,3.119,10494,0,Human Health And Social Work Activities,Sports activities and amusement and recreation activities,1,Operation,Operation
1331,Northern America,United States of America,2360000000,2.499,2.65,2.45,2.286,10725,0,Information and communication,Telecommunications,1,N/A,N/A
10153,Western Europe,United Kingdom of Great Britain and Northern Ireland,1686002000,3.5,4.65,2.25,2.929,57313,0,Transportation And Storage,Postal and courier activities,1,N/A,N/A
4037,Western Europe,Italy,1276800000,3.028,3.569,3.013,2.071,59534,0,Manufacturing,Manufacture of food products,1,Farming,Farming
1735,Western Europe,United Kingdom of Great Britain and Northern Ireland,756321000,3.073,3.807,2.112,2.905,71077,0,"Agriculture, Forestry And Fishing","Crop and animal production, hunting and related service activities",0.031104959,Operation,Operation
1735,Western Europe,United Kingdom of Great Britain and Northern Ireland,756321000,3.073,3.807,2.112,2.905,71077,0,Manufacturing,Manufacture of food products,0.031104959,Operation,Operation
1735,Western Europe,United Kingdom of Great Britain and Northern Ireland,756321000,3.073,3.807,2.112,2.905,71077,0,Accommodation And Food Service Activities,Accommodation,0.809806947,Operation,Operation
